,Rank,Name,Type,Reviews,ABV,Score,Link,Brewery,City,State,Description
23,24.0,Szałpiw Buba Extreme Jack Daniels BA,Abt/Quadrupel,61.0,16.0,4.25,https://www.ratebeer.com/beer/sza322piw-buba-extreme-jack-daniels-ba/462142/,Browar Szałpiw,,Poland,Ice Quadrupel Jack Daniels Barrel Aged.
24,25.0,Mikkeller Beer Geek Vanilla Shake (Bourbon Edition),Imperial Stout,256.0,13.0,4.24,https://www.ratebeer.com/beer/mikkeller-beer-geek-vanilla-shake-40bourbon-edition41/248755/,Mikkeller,,Denmark,"In the beer geek breakfast series – the beer that really put Mikkeller on the map, we decided to shake things up by adding a truck load of vanilla to the french press coffee trick, creating a whole new dimension to the beer that are loved by freaks and geeks worldwide. Not only that, we then placed it in bourbon barrels for 8 months for a truly unique beer experience. It’s dark, dangerous, sweet and incredibly tasty as you would expect, but most of all; it’s ready to conquer your breakfast table routines.Please note: The label is the same as the regular version. This one comes with a limited edition yellow wax. "
25,26.0,Alchemist Heady Topper,Imperial IPA,1508.0,8.0,4.24,https://www.ratebeer.com/beer/alchemist-heady-topper/32329/,The Alchemist,Stowe,Vermont,"An American Double IPA, packed with over 120 IBU! "
26,27.0,Goose Island Bourbon County Stout - Coffee,Imperial Stout,960.0,13.4,4.23,https://www.ratebeer.com/beer/goose-island-bourbon-county-stout-coffee/66358/,Goose Island Beer Company (AB-InBev),Chicago,Illinois,"Everyday Goose Island smells the wonderful coffee roasting next to our brewery at Chicago’s Intelligentsia Coffee and Tea. This world class roaster puts the same passion and skill into their coffee as Goose Island does with its beer. This excellent stout is made with a different coffee from our friends next door each year. With the change in coffee comes a change in the flavor profile, making each release truly unique from the previous years.- First bottle release seen in Spring 2010 as ""Bourbon County Coffee Stout"".- Also available previous years at the brewpub as ""Black Cat Bourbon County Stout""2010 Bottling: Intelligentsia Black Cat2010 Draft: Intelligentsia Bosque Lya2011 Draft: Intelligentsia Honey Badger2011 Draft: Intelligentsia Edelweiss2011 Bottling: Intelligentsia Anjilanaka2012 Bottling: Intelligentsia La Tortuga2013 Draft: Intelligentsia El Diablo2013 Draft: Kangocho Kenyan Coffee2013 Draft: Fazenda Brazilian Coffee2013 Bottling: Intelligentsia Los Inmortales2014 Release - Intelligentsia Zirikana from Rwanda2015 Release - Intelligentsia Los Delirios from Nicaragua2017 Release - Intelligentsia Black Cat"
27,28.0,Toppling Goliath Assassin,Imperial Stout,211.0,12.8,4.23,https://www.ratebeer.com/beer/toppling-goliath-assassin/163168/,Toppling Goliath,Decorah,Iowa,"After endless hours of scorching in heat, brewing in turmoil, fermenting in angst, the Assassin’s journey has just begun. In the shadow of the temple, he lies in wait, maturing his plot to perfection. He emerges merciless, dominated by darkness, his bite laced with the charred remnants of his victims. No man dares to cross his path. They will forever sleep with one eye open, in fear of the Assassin’s hot kiss of death. 2012 - Red wax. 1st release 2012 - Gold wax 2nd release 2013 - Yellow wax 2014 - Metallic Gold wax"
28,29.0,Three Floyds Dreadnaught Imperial IPA,Imperial IPA,2081.0,9.5,4.23,https://www.ratebeer.com/beer/three-floyds-dreadnaught-imperial-ipa/8933/,Three Floyds Brewing Company,Munster,Indiana,"A hophead’s dream beer. This Imperial India Pale Ale has an opening salvo of mango, peach and citrus hop aromas that sit atop a pronounced caramel malt backbone. Although Dreadnaught is a strong and intensely hoppy ale, its complex flavors is both smooth and memorable.9.5% ABV, 100 IBUs."
29,30.0,Hill Farmstead Aaron,Barley Wine,120.0,,4.23,https://www.ratebeer.com/beer/hill-farmstead-aaron/284884/,Hill Farmstead Brewery,Greensboro,Vermont,"Aaron A. Hill (1786-1869) was our great-great-great grandfather who operated the original tavern in North Greensboro- an industrious, inventive and indomitable figure in the community. The Hill Farmstead Brewery logo is based upon the tavern's original sign. In his honor, we crafted this barleywine at the outset of our venture. It has rested, unhurriedly and undisturbed, for over 2 years in bourbon barrels from some of our favorite distilleries, absorbing the essence of its surroundings and history. Bottle conditioned for 5 months."
30,31.0,Mikkeller Beer Geek Brunch Weasel,Imperial Stout,1810.0,10.9,4.23,https://www.ratebeer.com/beer/mikkeller-beer-geek-brunch-weasel/97034/,Mikkeller,,Denmark,"Formerly brewed by Mikkeller at Nøgne Ø, Norway, now at Lervig, Norway.This imperial Oatmeal stout is brewed with one of the world’s most expensive coffees, made from droppings of weasel-like civetcats. The fussy Southeast Asian animals only eat the best and ripest coffee berries.Enzymes in their digestive system help to break down the bean. Workers collect the bean-containing droppings for Civet or Weasel Coffee. The exceedingly rareCivet Coffee has a strong taste and an even stronger aroma.Ingredients :Water, malts, hops, yeast and Vietnamese ca phe chon coffee. "
31,32.0,Prairie / Evil Twin Bible Belt - Barrel Aged,Imperial Stout,309.0,13.0,4.22,https://www.ratebeer.com/beer/prairie-evil-twin-bible-belt-barrel-aged/480912/,Prairie Artisan Ales,Tulsa,Oklahoma,"Prairie Artisan Ales and Evil Twin Brewing have joined forces again on a variation of their first collaboration.The new beer is Barrel-Aged Bible Belt, a 12 percent ABV imperial stout brewed with cacao nibs, chili peppers, coffee and vanilla beans before being aged in Heaven Hill whiskey barrels for between seven and nine months. As the name suggests, the base beer is Bible Belt, a 13 percent imperial stout first released in 2014 that combines Evil Twin’s Even More Jesus imperial stout (12 percent ABV) and the same spices and other adjuncts that are used in Prairie’s Bomb! imperial stout (13 percent ABV.)"
32,33.0,Bell's Bourbon Barrel-Aged Expedition Stout,Imperial Stout,93.0,12.8,4.22,https://www.ratebeer.com/beer/bell39s-bourbon-barrel-aged-expedition-stout/423017/,Bell's Brewery,Galesburg,Michigan,"This 12-month barrel-aged version of our award-winning Imperial Stout thirsts for travel but is perfectly content to sit in your cellar, maturing until you are ready. The tough part? Deciding if you want to enjoy it now or wait until later. You can’t go wrong either way.
Note: Bourbon Barrel-Aged Expedition Stout was aged in Four Roses bourbon barrels, bottled May 4, 2016, and released at Bells General Store on May 6, 2016."
