,Toppling Goliath Kentucky Brunch,Westvleteren 12 (XII),Toppling Goliath Mornin' Delight,Cigar City Hunahpu's Imperial Stout - Double Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Barrel Aged,Russian River Pliny the Younger,AleSmith Speedway Stout - Bourbon Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Vanilla Bean,Bell's Black Note Stout,Founders CBS (Canadian Breakfast Stout),AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee,Rochefort Trappistes 10,AleSmith Speedway Stout,Hill Farmstead Ann,Cigar City Hunahpu's Imperial Stout,Bell's Expedition Stout,Founders KBS (Kentucky Breakfast Stout),Three Floyds Dark Lord Russian Imperial Stout,Russian River Pliny the Elder,Funky Buddha Morning Wood,Perennial Abraxas - Barrel Aged,Goose Island Bourbon County Stout,Cigar City Hunahpu's Imperial Stout - Bourbon Barrel Aged,Szałpiw Buba Extreme Jack Daniels BA,Alchemist Heady Topper,Mikkeller Beer Geek Vanilla Shake (Bourbon Edition),Goose Island Bourbon County Stout - Coffee,Three Floyds Dreadnaught Imperial IPA,Toppling Goliath Assassin,Hill Farmstead Aaron,Mikkeller Beer Geek Brunch Weasel,Prairie / Evil Twin Bible Belt - Barrel Aged,Bell's Bourbon Barrel-Aged Expedition Stout,Cycle Trademark Dispute (Yellow),Firestone Walker Parabola,Funky Buddha Last Buffalo in the Park,Evil Twin Double Barrel Jesus,Omnipollo / Siren / David Strachan Lorelei - Barrel Aged Extra Maple,Funky Buddha Wide Awake It's Morning,AleSmith Speedway Stout - Vietnamese Coffee,Surly Darkness,Cycle Trademark Dispute (Green),Westvleteren Extra 8,Deschutes The Abyss,Hill Farmstead Abner,Stone Imperial Russian Stout - Bourbon Barrel,Toppling Goliath King Sue,Hair of the Dog Matt,Bell's Hopslam,Närke Kaggen Stormaktsporter Börb'nåhallon
11,4.5,5,4.4,4.3,4.9,4.1,4.4,4.6,2.6,4.6,4.2,4.1,4.8,4.7,4.1,4.2,4.4,4.4,4.3,4.2,3.9,4.3,4.4,3.9,4.6,4.6,4.1,4,4,4.1,4,4.4,4.5,4.4,4,4.5,4.1,4.3,4.2,3.9,4.7,4.3,4.1,3.9,5,4,4,4.3,3.9,3.6
12,5,4.7,3.9,4.5,4.1,4.4,4.1,5,4,5,4.2,5,4.7,5,4.3,4.4,4,4.2,4.9,4.2,5,4.6,4.9,4.6,4.6,4.4,4.4,4.2,4.6,4.4,4,4.5,4.5,4.5,4.2,4.5,4.5,4.5,4.3,3.8,4.4,4.2,4,4.1,4,4.8,4.1,4.3,4.2,4.4
13,4.6,3.9,4.4,4.3,4.5,4.3,4.2,3.8,4.2,4.2,4.1,4,4.4,3.9,4.4,3.7,4.7,4.6,4.4,4.3,4.9,4,4.3,4.5,3.9,4.5,4,3.6,4.6,3.6,4.2,4.3,4.6,3.6,4.6,4.3,3.9,4,4.4,3.3,4.6,4.4,3.9,4.2,4.1,4.2,4.3,4.6,4,4.4
14,4.9,4.2,5,4.5,4.5,5,4.4,4.5,4.2,4,4.2,4.1,4.4,4.2,4.1,4,4.3,4.2,4.1,4.3,4.3,4.5,3.7,3.6,4.7,4.6,4.2,4.4,4.5,4.7,3.2,4,4.1,4.2,3.6,4.5,3.8,4.5,4.2,4.2,4.1,4.2,3.8,4,4.2,3.8,4,4,3.8,4.2
15,3,5,4.7,4.5,4.4,3.7,3.7,4.9,3.9,4.3,3.7,4,4.1,3.7,4.2,4.2,4.4,4.7,4.5,4.4,4.3,4.6,4.2,3.8,4.1,4.3,4,3.6,4.4,4.6,4.1,4.1,4.4,4.3,4.3,3.5,4.1,4.3,4.3,4.2,4.4,4.5,3.9,3.9,4.5,3.7,3.6,4.8,4.3,4.2
16,5,4.5,4.2,4.4,4.3,4.8,4.3,4.1,4.7,4,4.5,5,3.9,4.6,4.1,4.1,4.6,4.1,3.9,4.4,4.4,4.6,4.4,4.8,4.6,4.4,4.2,4.1,3.8,4.6,4.2,4.2,4.6,4.4,5,4.5,4.1,4.4,4.4,4,4.4,4.5,3.6,4.2,4.2,4.1,4,3.4,3,4.3
17,4.9,4.5,4,4.4,4.2,4.2,4.3,4.8,4.3,4.6,4.7,4.2,4.3,4.4,4.2,4,3.9,4,4.5,0.5,4.5,5,4.5,4.6,4.7,3.9,4.3,4,4.7,4,3.8,4.5,4.2,4.5,4.2,4.4,4,4,4,4.3,3.4,4.3,3.8,4.1,4.1,3.2,4.8,4.4,3.4,4.1
18,4.7,4.2,4.1,4.2,4.8,4.2,4.2,4.1,4,4.6,4.4,3.9,4.5,4.2,4.3,4.9,4.6,4.5,4.3,4.6,4.5,4.5,4.1,3.4,4.1,3.9,4.7,4.3,4.7,4.6,4.3,4.8,3.9,4.7,4.5,4.3,4,4.5,4.3,3.8,3.8,4.6,4.5,4.1,4.5,3.8,3.9,4.3,4.4,4.2
19,5,4,4.8,4.5,3.9,4.3,4.6,4,5,3.4,4.3,4.3,4.5,4.3,4.1,4.5,4.2,4.7,3.6,4.2,4.7,4.6,4.6,4.8,3.8,4.2,4.3,4.3,3.9,4.7,4.3,4.3,4.2,3.8,4.6,4.2,4.5,4.7,4.5,4.1,3.1,4.3,3.9,4.3,4.2,4.2,3.8,3.9,4.3,3.6
20,4.5,4.3,4.5,4.5,4.6,4.5,4.4,4.4,3.5,4.9,4.7,3.8,4.2,4.3,4,4.2,4.3,4.4,5,4.5,4.8,4,4.1,4.6,4.2,4.2,4.4,4.5,4.1,4.2,4.3,4.3,4.2,5,4.3,4.1,4.1,4.3,3.8,4.6,4.1,4,3.4,4.1,4.2,3.5,3.8,4.4,4.3,4.2
21,4.8,4.8,4.4,3.9,4.4,3.6,4.1,4.3,4.5,3.8,4.5,4.6,4.7,4.3,4.5,3.9,4,4.2,4.7,4,4.5,4.3,4.1,4.2,4.3,4.5,4.2,4.4,4.2,3.7,3.2,4,4.1,4.1,4.3,4.1,4.2,4.2,3.8,4.4,4,4.1,3.7,3.9,4.2,4,3.9,3.8,3.1,4
22,4.9,3.7,4.9,4,4.2,4.2,4.3,4.6,4.5,4.3,4.4,5,4.3,4.3,4.3,4.3,4.1,4.7,4.1,4.6,4.5,5,4,3.9,2.8,4.5,4.5,4.2,4.4,4.3,4.2,3.8,4.1,4.2,4.6,4.3,4.1,4.4,0.5,4.2,4.7,4.5,3.8,4.8,4.2,4,4.1,4.2,3.9,3.8
23,4.8,4,4.8,4.4,3.5,4.7,4.7,4.7,4,4.1,4.1,4.7,4.1,3.3,4.3,3.5,4.4,4,3.5,3.9,4.3,4.8,4.3,4.2,4.5,4.4,3.9,4.1,4.4,4.4,4.6,4.5,4.3,3.5,4.1,3.9,4.2,4.5,4,4.4,4.8,3.8,3.9,4,4,3.5,3.8,3.8,4.2,4.4
24,4.7,4.7,4.7,3.9,4,4,4.7,4.3,4.6,4.8,4.2,4.2,4.1,4.2,4.4,3.9,4.2,4.6,4.2,4.2,4.1,4.5,4.7,4.9,4.1,4.6,4.3,4.2,3.7,4.8,3.9,4.1,4.2,4.2,4.3,3.9,4.1,5,4.1,3.8,4.3,4.3,3.6,4,4.1,4.7,4,4.4,4.3,4
25,4.7,3.9,4.7,4,3.7,4.1,4.3,4.5,4.3,4.8,4.4,4.7,4.1,4.3,4,4.4,4.2,4.4,4.8,4.5,4.4,4.4,4.1,4.4,4.3,4.2,4.7,4.9,4.5,4.4,3.4,3.9,4.8,4.3,3.6,3.7,3.9,4.3,4,4,4.1,4.4,3.8,4.2,4,4.7,4.4,4,4.4,4.7
26,4.8,4,3.8,4.2,4.2,5,4.5,4.3,4.6,4.2,4.5,4.5,4.2,4.2,4.3,3.5,5,3.6,3.9,4.6,3.8,3.1,4.6,4.6,3.7,4.6,4.4,4.2,4.6,4.6,4.6,3.7,4.2,3.9,4.6,4.1,4.1,4.1,4.2,4.2,4.3,4.6,4.1,3.9,4.1,4.4,5,4.2,4.2,4.2
27,4.6,3.8,4.7,4.4,4,4.2,4.6,4.6,4,4.9,4.5,3.4,4.3,4.5,4,3.6,4.1,3.7,5,4.1,4.4,4.1,4.3,5,4.8,4,4.1,4.1,4.7,4.8,4.2,4.2,4,4.2,4.5,3.8,3.6,4,4,3.9,4.1,4.5,4.2,4.2,4.1,3.9,4.1,4.1,4.2,4.2
28,4.6,4,4.8,4.5,4.5,4.6,3.9,4.1,3.9,4.2,4,3.4,4.1,3.9,4.3,4.5,2.7,3.8,4.2,4.1,4.7,4.5,4.4,3.4,4,4.4,4.3,4.4,5,4.3,4.6,4.3,4.4,3.8,4.4,4,3.5,4.4,4.5,4.2,4.4,4.2,3.5,4.3,3.4,3.4,4.1,4.5,5,4.2
29,4.5,4.2,4.8,4.3,4,4.7,4.3,5,4.2,4.1,4.2,4,4.2,4.4,4.3,3.9,4.9,4.2,4.1,4.2,4.1,4.3,4.7,4.1,4.4,3.9,4,4.3,4.7,4.4,4.7,3.5,4.2,4,4,4.5,4.6,4,4.5,4.6,4.3,2.7,3.6,4.6,3.9,4.1,3.9,3.9,4.2,4.1
30,4.5,5,4.9,4.5,5,4.5,4.3,4.6,5,4.4,4.5,4.3,4.5,4.4,4.5,4,4.2,3.4,4.6,4.5,4.8,4.2,3.9,4.1,4.6,4.5,4.5,4.2,4.6,4.3,4,4.3,4.2,4.2,4.4,4.4,3.8,3.6,4.3,4,4.6,4.4,5,4.2,3.6,3.9,3.9,4.3,3.8,4.7
31,4.3,3.9,4.1,4.2,4,4.3,4.2,4.1,3.7,4.4,4.3,4.4,3.9,4.5,3.8,3.1,4.5,3.7,3.9,4.3,4.1,3.8,3.8,4.1,4,4.5,4.6,4.2,4.6,4.1,4.5,4.4,4.3,4,3.6,3.9,4,3.3,4.4,4.2,4.6,4.8,3.9,4.1,4.1,4.1,5,3.7,4,3.9
32,5,5,4.9,4.4,4.6,4.2,4.4,4,3.6,3.5,4,4,4.5,4.2,4.4,4.5,4.3,4.6,4.1,3.6,4,4.4,4.3,4.3,4.2,4.4,4,4.1,4.6,4.4,4.3,4.2,4.4,4.4,4.3,4,4.3,3.9,4.4,4.2,4.3,4.6,4,2,4,4.2,4.1,4.7,4,4.3
33,4.8,4.3,4.5,4.2,4.2,4.1,4.2,4.8,3.9,4.1,4.3,4.2,4.3,4,4.1,2.1,4.7,4.2,4.1,4.5,4.1,4.2,4.2,4.4,3.9,4,4.1,3.8,4.8,4.1,4.1,3.9,4.6,4.1,3.9,4.3,4.6,4.6,3.9,3.7,4.5,4.4,4,3.9,4.7,4.2,3.6,4.2,5,3.9
34,4.8,4.1,4.4,4.8,4.5,4.4,3.1,4.5,3.9,4.4,4.3,4.4,3.9,3.9,3.9,4.3,4.8,4.3,5,3.9,4.8,4.5,3.8,4.2,3.9,4,4.4,4.1,4.5,4.6,4.4,4.1,4,4.4,4.9,3.9,4.5,2.9,4.2,4.5,3.8,4.3,4.4,3.9,3.8,4.3,4.4,4.1,4.6,4.1
35,4.6,5,5,4.1,4.5,4.2,3.9,4.8,4.5,4,4.4,3.5,4.4,4.3,4.8,4.2,4.3,4.4,4.7,4.3,4.1,4.7,4.3,4.2,4.1,3.9,3.9,3.9,4.5,4.6,4.4,4.3,4.5,4.2,4.2,4,4.2,4,4.1,4.1,4.8,4.3,4.7,3.3,3.9,4.1,4.5,4.5,1.3,3.7
36,5,4.8,4.8,4.2,4.5,4.5,4,4.6,4.7,4.8,3.7,5,4.1,3.7,5,4.1,3.8,4.2,4.3,3.4,3.9,4.6,3.9,4.7,4.6,3.9,4,4,4.6,4.8,4.2,3.8,4.5,4.1,4,4.6,4.4,4.4,4.1,4.7,3.8,4.3,4,4.5,3.3,4.4,4,1.5,4.4,4.6
37,4.6,4.1,4,4.6,4.4,4.4,4.7,4.5,3.6,4.2,4.4,3.8,4.2,4,4.6,4.5,4.4,4.5,4.1,4.5,4.5,5,4,4.2,5,3.8,4.4,4.2,4.6,4.8,4.3,4.1,4.6,4.5,4.7,3.9,4.1,3.8,4.7,4.3,3.7,4.4,4.8,4.6,4.7,3.8,4.1,4.1,5,4.6
38,3.8,4.6,4.3,4.1,4.8,4.7,4,4.3,5,4.5,3.8,3.7,4.1,4.6,4.1,4.2,4.2,4.4,4.1,4.4,4.3,4.1,4.4,4.3,4.1,4.4,4.3,3.8,4.6,3.7,4.2,4.6,5,4.2,4.3,4.2,4.3,4.7,4,4.8,3.8,4.6,4.1,4.4,4,5,4.2,3.7,4.3,4.5
39,4.9,4.8,4.3,4.4,4.9,3.7,4,3.9,5,4.5,4,4.3,4.6,4.1,4.3,3.9,4.3,4,4.6,4.4,4.3,5,4.1,4,4.2,3.9,4.3,3.8,4.6,4.1,3.9,4,4.1,4.2,4.2,3.8,3.6,4.2,3.8,4.2,4.3,4.8,4.5,4.3,4,3.6,4.7,4.5,4.5,4.6
40,4.9,4.5,4,5,4.2,4.1,4.2,4.2,4.6,4.4,4.2,4.4,4,4.2,4.2,4.6,4.2,4.3,4.2,4.3,4.3,5,4,3.9,4.6,4.8,4.2,4,3.9,3.8,4.2,4.5,4,4,4.3,4.3,3.9,4.2,4.1,3.6,4,4.4,4.2,4.3,4.3,4.3,4.4,3.9,4,3.8
41,4.5,5,4.4,4.4,4.3,4.5,4,4.1,4.2,4.7,4.5,3.7,3.3,4,4.4,4.1,4.7,3.7,3.7,4.4,4.5,4.5,4.1,4.7,3.5,4.6,4.8,3.8,4.1,4.2,4.8,4.5,4.4,4,4.6,4.2,4.5,4.3,4.2,4.4,4.6,4.4,4.3,4.7,4.9,4,4.1,4.2,4.3,4.5
42,5,4.5,4.6,4.4,4.3,4.3,4.4,4.4,5,4.6,4.3,5,4.8,4.4,4.7,3.8,4.7,3.5,3.7,4.2,3.2,4.6,4.2,4.7,4.2,4.8,4.1,4.8,4,3.8,4.4,3.5,3.8,4.4,4.1,4.1,3.9,4.3,4.2,3.6,4.4,4.2,3.8,3.8,4.6,4,4.7,4.3,4.4,4
43,4.4,4.6,4.3,5,4.4,4.2,4.5,3.9,4.2,4.5,4.4,4.3,4.4,4.6,4.2,4.3,3.8,4.4,4,4.4,4.5,4.7,4.3,4.3,4,4.7,4,4.1,4.2,4.3,3.8,4,3.8,4,5,4.3,4.3,3.8,4.5,4.2,4.5,4.4,4.3,4.1,4.5,4.4,4.6,4.3,4.2,3.7
44,4.6,3.4,4.2,4.5,4.3,4.7,4.5,4.6,3.9,4.3,4.2,4.7,4.9,4,4,4.3,4.2,3.9,3.9,4.2,4.5,4.1,4.5,3.6,4,4.4,4.5,3.7,4,4.3,4.5,4.1,4.3,4.5,3.2,4.2,4.1,4.4,4.3,4.4,3.9,4.4,4.2,3.6,4,4.2,4.2,3.7,4,4.2
45,4,5,3.1,4,4.5,4.4,4.8,4.6,4.2,4.4,4.3,4,4.5,5,4.2,4.3,4.4,3.6,4.7,4.6,4.5,4.6,4.6,3.7,4.3,4.3,4.2,3.5,4.4,4.3,4.1,4.4,4.2,4.4,4.2,4.4,3.3,4.5,4.2,4.4,4.4,4.5,4,4.2,4.3,4,4.4,3.7,3.8,4.3
46,4.5,4.2,4.4,4.8,4.3,4.8,4.3,4.5,3.8,4.8,4.2,4.5,4.2,4.4,4.5,4,4.5,4.3,4.1,4.3,4.5,4.1,4.2,3.4,4.5,4.3,4.8,3.3,4.3,4.3,4.2,4.7,4.4,4.4,4.1,4.1,3.8,4.7,4.7,4,4.2,4.6,4,4.3,4.8,4.8,4.4,4.2,3.9,4
47,5,5,4.8,4.5,4.1,5,4.3,4.5,3.8,4.2,4.4,4,4.3,4.6,4.7,4.7,4.2,4.7,4.5,4.3,4.6,4,4.6,3.5,4.1,4.8,4.5,4,4,4.2,2.9,4.1,4.4,3.7,4.1,4.2,4.4,4.3,4.6,4.4,4.2,4.2,3.5,4,4.2,4.3,4.2,4,4,4.4
48,4.6,5,4.5,4.3,4.3,4.6,4.4,4.6,4.4,4.2,4.4,4.8,4.2,4.6,3.9,4.3,4.3,4.7,4.1,4.7,4.5,4.1,4.1,4.5,2.9,4.4,4.5,4,4.2,4.3,4,4.4,4.3,3.6,4,4,4.5,4.1,4.3,4.4,4.2,4.2,4.4,4.3,4.2,4.3,4.8,4.3,3.8,4.2
49,4.3,4.5,4.6,4.3,4.3,4.9,4.5,4.1,4.4,4.3,4.4,5,3.6,4.8,4.6,5,3.4,4.8,4.1,4.3,4.4,4.2,3.8,4.6,5,4.5,4.7,4.2,4.3,4.9,4.3,4.5,4.1,4.1,4.2,4.1,4.5,4.4,4.1,4.1,4.2,4.5,4.6,4.5,4.5,3.8,4,4.1,4.2,4.3
50,4.4,3,4.1,4.6,3.9,5,4.6,4.7,4.6,4.2,4.6,4.1,4.2,4.7,4.2,5,4.7,4.3,4.1,4.4,4.6,4.1,3.7,4.6,4.5,4.4,4.1,4.2,3.9,4.3,4.4,5,4.7,4.2,4.2,4.4,5,4.6,4.2,4.7,4.2,4.2,4.2,4.1,4.5,4.6,3.6,4.4,3.5,4.3
51,4.6,3.7,4.5,4.8,4.1,4.3,4.2,4.6,4.2,4.4,4.6,4,4.9,4.6,4.7,4.7,4.3,4.9,3.8,4.2,4.7,3.9,4.5,4.3,4.4,4,4.4,3.9,4.3,4.2,4.7,4.5,4.3,4.3,4.1,4.6,4.5,4,4.6,4.5,3.9,4.1,4,3.8,4.1,4.5,4.1,4,3.6,4.4
52,4.3,4.2,4.2,4,4.4,5,4.3,4.2,4.4,4.4,4.4,4.2,4,4.4,4.1,5,4.3,4.6,4.2,3.7,4.4,4.3,4.4,4.6,4.8,4.5,2.2,4.2,4.3,4,4,4.3,4.2,4.1,4.4,4.7,4.3,4.6,4.4,3.8,4,3.7,4,4.5,4.4,4.3,4.1,3.7,3.7,4.5
53,4.4,4.7,4.9,4.4,3.7,3.5,4,4.6,4.5,3.8,4.7,3.9,4.3,4.4,4.4,3.9,4,4.3,4,4.4,4.5,4.3,4.3,4.7,4.4,4.4,0.5,4.3,4.4,4.3,5,4.1,4,4.2,3.9,4.3,4.2,3.4,4.5,4.3,3.2,4,5,4.1,4.5,4,4.2,4,3.9,4.5
54,4.3,5,4.3,4.1,4.1,4.3,4.5,4.6,4.3,4.1,4.7,3.7,4.2,4.6,3.8,4.4,4,3.8,3.9,4.6,4.7,4.2,4.4,4.7,4,4.3,3.8,3.9,4.2,4.3,4,4.4,4.1,4,4,4,4.4,4.5,4.4,3.7,3.9,4.2,4,4.5,3.3,4.2,4.1,4.4,3.5,4.3
55,4.3,4.5,4.4,5,3.2,4.3,5,4.7,4.6,4.8,4.2,4.1,4.2,4.6,3.8,3.6,4.8,4,4.6,4.3,5,4.5,4.7,4.3,4.4,4.1,3.8,4.3,4.1,3.9,4.6,4.2,4.1,4.2,4.1,4.2,4.3,4.6,4.3,3.4,4.7,4.5,4,4.6,4.4,3.5,3.9,4.1,4,4.2
56,4.6,2,4.5,4.5,3.7,4.5,4,4.3,4.4,4.2,5,4.2,3.7,4.5,4.1,4.5,4,4.1,4.3,4.7,4.8,5,3.9,4.3,5,4.6,4.8,4,4.5,4.1,4.1,4.2,4.2,4.4,4.2,4,4.3,3.9,4.2,3.8,4.1,4.1,3.6,3.9,4.4,4.3,4.1,3.2,3.5,4.3
57,4.3,3.8,4.4,5,4.1,4.1,4.4,4.6,3.8,4.4,4.1,4.8,3.2,4.2,4.5,3.7,4.2,4.5,5,5,4.6,4.3,4.2,5,4.6,4.2,5,4.2,4.2,4.5,4.2,3.7,4.3,4.4,3.7,4.7,3.9,4.3,4.3,4.8,3.7,4.3,4.6,4.6,4.2,4.4,3.7,4.3,4.3,4.2
58,5,3.8,4.2,4.9,3.8,4,4.8,4.7,4.4,2.8,4.4,4.2,5,4.6,4.2,4.6,4.4,4.2,2.9,4.2,4.2,4.5,4.5,4.8,3.8,4.8,3.2,3.4,4,4,3.9,4.6,4.2,4.1,4.2,3.9,4.2,4.2,3.9,4,4,4.4,4,4,4.4,4.4,4,4.1,4.6,4.7
59,5,3.5,5,4.9,3.8,4.4,4.3,4.1,4.7,4,4.1,2.7,4.3,4.4,4,4.2,4.5,5,4.5,4.4,4.5,5,4.1,4.4,4.8,4.9,4.7,3.8,4.4,4.3,4.1,4.4,4.5,4.6,4.3,4.5,4.7,4.3,3.8,4.1,4.9,4.1,3.9,5,3.9,5,4.2,4.2,3.8,4.3
60,4.8,4.6,4.5,5,4.1,4.4,4.2,4.8,4.1,4.5,4.2,4.5,4.1,4.3,4.1,4.4,3.6,5,4,4.1,4.5,4.6,4.4,4.8,4,4.2,4.4,3.3,4.5,4.5,4,4,4.5,4.6,3.8,4.4,4.6,4.3,3.9,4.5,4.5,4.4,3.9,3.6,4,4.1,4.5,4.6,4.3,4.3
61,4.8,4.9,3.5,4,4.1,4.5,4.5,4,4.1,4.4,4.7,4.6,4.5,4.2,3.9,4,4.3,4.4,4.8,4.5,4.6,4.7,4.2,4.4,4.9,4.9,4.4,4.4,4.4,4.2,4.5,3.8,4.5,4.3,4,4.4,4.3,4.8,4,4.4,4.3,4.5,3.9,4.4,4.4,4.1,5,4.6,2.8,4.3
62,4.8,3.2,4.4,4.5,3.8,5,5,4.3,4,4.4,4.4,4.9,4.5,4.3,4.5,4.3,5,4,4.6,4,4.3,4.7,4.2,4.4,3.7,4.2,4.2,3.6,4.1,4.7,3.8,4.2,4.3,3.8,4.2,4.1,4.4,5,4.1,4.1,4.2,4.2,4.5,4.9,4.3,4.2,4.3,4.2,4.3,4.2
